,TStatistic,PValue,PValCorr,RejectionCorr,F_C
RPL22,1.7498388328631904,0.08793827864963744,1.0,False,1.182249015347592
RNF207,1.5104838595424446,0.13764815426412216,1.0,False,1.1100391951609736
ICMT,0.017673861044436908,0.9859739506645984,1.0,False,1.0009265559203016
GPR153,-0.5660135745689908,0.5740794949171681,1.0,False,1.0457497349803382
ACOT7,-1.3912391362260719,0.17071118741652472,1.0,False,1.1025936120169757
HES2,-1.6686474109515461,0.10204735979665408,1.0,False,1.4326013917453984
ESPN,-3.216461025345817,0.0023538808455619985,1.0,False,1.4386220575684883
TNFRSF25,-1.6406852409525128,0.10793440897383179,1.0,False,1.1301773390733614
PLEKHG5,-1.5144760523417102,0.13690572684872981,1.0,False,1.128300485148331
NOL9,-0.19480680044669318,0.8463993772017664,1.0,False,1.0198734355227377
TAS1R1,-0.6941555184035565,0.4910240915377224,1.0,False,1.065142009016287
ZBTB48,-1.4042289491932582,0.1678161799864477,1.0,False,1.084438025952531
KLHL21,0.6443755833105272,0.5224649978969593,1.0,False,1.0706373875720667
PHF13,0.7470721630349694,0.4587461665096736,1.0,False,1.052212409825186
THAP3,-0.819426825032481,0.4167159400209196,1.0,False,1.057107184738682
DNAJC11,-0.7453924638968219,0.45974671928430544,1.0,False,1.0517155394263629
CAMTA1,-0.4562048747754337,0.6504534054780415,1.0,False,1.025622841706274
VAMP3,0.860132026919421,0.39412566757146417,1.0,False,1.0846134433771302
PER3,0.8363463115944971,0.4072590003658355,1.0,False,1.090085676398627
TNFRSF9,-2.1277120840531585,0.03867858479919482,1.0,False,1.3919332094059025
PARK7,1.0278723233882103,0.3095215528920923,1.0,False,1.0799698268753495
ERRFI1,-0.3760176669808382,0.708602184630966,1.0,False,1.0535792267205728
SLC45A1,-0.6475553078044831,0.5204360579785827,1.0,False,1.0469269467866607
RERE,-0.7318524102577143,0.468139906941464,1.0,False,1.044087707287889
ENO1,0.9418231732899225,0.3511513741166755,1.0,False,1.1086139172985132
CA6,-0.10120409929168805,0.9198203311176654,1.0,False,1.0138602048637664
SLC2A5,1.2387129458702923,0.2217529664683749,1.0,False,1.16082792169927
H6PD,-0.9196388425671341,0.3625165007117461,1.0,False,1.0371354235514738
SPSB1,1.2338950899735872,0.22409539861250638,1.0,False,1.143422784180339
SLC25A33,0.6872364978376936,0.49552764028182517,1.0,False,1.1078551334220155
TMEM201,0.4790220292233175,0.6342133754537034,1.0,False,1.0294239407587085
PIK3CD,1.0782854329937825,0.2869047595593537,1.0,False,1.1548550900625318
C1orf200,0.6365741783516591,0.527698693386937,1.0,False,1.090039925053589
CLSTN1,0.004841771687898511,0.9961573435909258,1.0,False,1.0004102135635022
CTNNBIP1,-0.2620941646118242,0.7943960440069668,1.0,False,1.015102187607836
LZIC,-0.7305227563085199,0.46869691320683793,1.0,False,1.084500113573853
NMNAT1,0.47291918582457115,0.6385815033293778,1.0,False,1.049008862548102
RBP7,3.0188303697746517,0.004556570323480429,1.0,False,1.3859801255246826
UBE4B,-0.28914765902868567,0.773741935827518,1.0,False,1.0190918663128798
KIF1B,1.7553731521156948,0.08574632344237089,1.0,False,1.0992487722624336
PGD,-0.04184464240542698,0.9668010261647079,1.0,False,1.003332800997467
APITD1,0.31186202876395874,0.756557481606785,1.0,False,1.0263582736632593
CORT,-1.6582517354593338,0.10393523215868794,1.0,False,1.1569347311297284
DFFA,-1.5688176980276054,0.12347280323786905,1.0,False,1.1164156188636347
PEX14,-0.027905788917847944,0.9778568421387046,1.0,False,1.0018861031423247
CASZ1,-1.896532081066233,0.06407345998237117,1.0,False,1.1643564114778102
C1orf127,-0.11381549939258909,0.9098689269467848,1.0,False,1.0133950445356827
TARDBP,-0.554277182012482,0.582100147751728,1.0,False,1.0563550907940282
MASP2,-3.8320997624520423,0.00038611290321830476,0.7986507478913178,False,1.6860213741249948
SRM,-1.2322508126927234,0.22479168897051013,1.0,False,1.1376918930087372
EXOSC10,-0.851276256024008,0.399205876333102,1.0,False,1.0556795503533483
MTOR,0.60258079875417,0.549703863074563,1.0,False,1.0444703940845719
ANGPTL7,-0.9308050929163453,0.35689304660998,1.0,False,1.2719745505544204
UBIAD1,2.288725173981676,0.026880486179043574,1.0,False,1.148302412854782
PTCHD2,-1.1842305319091166,0.2436658209201277,1.0,False,1.1424652667138744
