,TStatistic,PValue,PValCorr,RejectionCorr,F_C
CA6,3.4166439173570264,0.0014284788968639975,0.1866923556498081,False,1.7130196939257643
SLC2A5,-2.1263089455451154,0.039023508442432187,1.0,False,1.2595205703695938
H6PD,1.0443183041505986,0.30206341079412535,1.0,False,1.0498927439956747
SPSB1,-1.7207155370027545,0.09277535027537272,1.0,False,1.2360511516761514
SLC25A33,1.0267687564740373,0.31016703784328736,1.0,False,1.1739213812677725
TMEM201,-0.039164617717039586,0.9689330160747789,1.0,False,1.0021339994086973
PIK3CD,-0.8420358025043361,0.4042521596457177,1.0,False,1.122287739061623
C1orf200,0.2565288880955984,0.7987137004522717,1.0,False,1.0372598206373225
CLSTN1,-0.16998005529702612,0.8658130584723088,1.0,False,1.012823994844912
CTNNBIP1,-1.3205099233870674,0.1942873635362015,1.0,False,1.095667516483307
LZIC,-2.3805836326379195,0.021814553648276325,1.0,False,1.3070322721293552
NMNAT1,0.057470334273310726,0.9544343452830887,1.0,False,1.0057110495056982
RBP7,3.410366583342736,0.0013796680039952446,0.18189756158456097,False,1.6145271799822962
UBE4B,0.362141111880443,0.7189664668797907,1.0,False,1.0250261285598532
KIF1B,2.1069090673549824,0.04155662787292554,1.0,False,1.1477479923756444
PGD,-1.9695533833737042,0.055515944899146324,1.0,False,1.1711074646771558
APITD1,-1.2233335821127163,0.2276913101109468,1.0,False,1.1140203458742792
CORT,-2.5638499276298985,0.014030182614933039,0.862949040616623,False,1.272180881781122
DFFA,-3.1876184153772495,0.0027302028944642337,0.29232784604512935,False,1.259248256732072
PEX14,0.718875158348842,0.476158292692364,1.0,False,1.0471123034822354
CASZ1,-2.259687123907902,0.028741406647386326,1.0,False,1.2029357608229692
C1orf127,-2.659323517150462,0.012312282748721213,0.7907088151502947,False,1.5319919882818944
TARDBP,0.8646662816308949,0.3922149372003798,1.0,False,1.0896478389211863
MASP2,0.24765820249587586,0.8055545570382433,1.0,False,1.0380653538901996
SRM,0.07356903319830482,0.941682948065909,1.0,False,1.0061077340667208
EXOSC10,1.0035245822858196,0.3209851441571277,1.0,False,1.0572182961224843
MTOR,1.0728017967076207,0.2895815706638713,1.0,False,1.0729512463719377
ANGPTL7,-0.0003352958594549961,0.9997344203790443,1.0,False,1.0001276959749537
UBIAD1,0.7245092442701856,0.47271289867508626,1.0,False,1.0415983790857768
PTCHD2,-1.6955861890143156,0.10216151303674725,1.0,False,1.3747427453613
