,TStatistic,PValue,PValCorr,RejectionCorr,F_C
TAS1R1,2.9209658705839487,0.005443972919755635,0.6196036570012041,False,1.4028992500392317
ZBTB48,1.4474749029729526,0.15706166798993415,1.0,False,1.0800537469909586
KLHL21,2.0073581673582046,0.05089448401155441,1.0,False,1.2485619464841993
PHF13,-0.01382865343084897,0.9890265497715969,1.0,False,1.0009246383344654
THAP3,1.0588805652761268,0.29651385701913074,1.0,False,1.0632835407770311
DNAJC11,-0.19204862180773494,0.848680023736238,1.0,False,1.0106124028011374
CAMTA1,1.327234274769547,0.19106991051033761,1.0,False,1.0816062453487376
VAMP3,-0.8510701755985851,0.399148632440367,1.0,False,1.0769907449935785
PER3,1.3690297911436968,0.1778892149979237,1.0,False,1.1785006067852517
TNFRSF9,-1.8802060378493006,0.06749438792091655,1.0,False,1.3294888084682657
PARK7,-1.6315260240100269,0.10963923865192189,1.0,False,1.1078595456938205
ERRFI1,2.9110701160838692,0.00600229679855272,0.6599309326525821,False,1.4584704826787838
SLC45A1,1.3954192236827112,0.1696374251820056,1.0,False,1.1145031124595468
RERE,2.080502783014864,0.04313336664682643,1.0,False,1.1084540348696332
ENO1,0.13975713604206483,0.8894679734063615,1.0,False,1.0161352080722004
CA6,3.611910625133634,0.0007806212742380908,0.18513960662386178,False,1.7367624978192415
SLC2A5,-3.4643246933023515,0.0012010035209975933,0.24121071819647608,False,1.4620866460396147
H6PD,1.9308903789106961,0.06013536505195081,1.0,False,1.0888809557275734
SPSB1,-2.9043551623115014,0.006418481638831611,0.6805671077464888,False,1.4133290492388595
SLC25A33,0.39967100933377653,0.6912636137602566,1.0,False,1.0596343744345773
TMEM201,-0.5067685783011522,0.6147712680128445,1.0,False,1.0316207308395866
PIK3CD,-1.9798865086469173,0.05458881915889867,1.0,False,1.2960797079700859
C1orf200,-0.3739018952248352,0.7102791487667592,1.0,False,1.0508841693914615
CLSTN1,-0.17075977283715738,0.8651923806646403,1.0,False,1.013239468985038
CTNNBIP1,-1.1188685663898201,0.27000243823618303,1.0,False,1.0793667178132371
LZIC,-1.7155342156592888,0.09335470539936533,1.0,False,1.2051933012917553
NMNAT1,-0.4687290102339723,0.6414814438727523,1.0,False,1.0430519412744688
RBP7,1.1207414183100872,0.2697711182022775,1.0,False,1.1648992292520022
UBE4B,0.6274299916592989,0.5335005443129444,1.0,False,1.0445957903735268
KIF1B,0.6091625451602893,0.5457133181766987,1.0,False,1.0441203313908567
PGD,-1.8517405107928413,0.07072119459099949,1.0,False,1.1672173614905195
APITD1,-1.5834090544666677,0.12074863321744682,1.0,False,1.1433839990172723
CORT,-1.0620057451522895,0.29409490714868525,1.0,False,1.0996133554905534
DFFA,-1.6706409896306136,0.10184231002824487,1.0,False,1.1279385879730188
PEX14,0.7904139699911289,0.4334232649865575,1.0,False,1.0490872652882
CASZ1,-0.43911160800522686,0.6626638248067181,1.0,False,1.0331336255504393
C1orf127,-2.5883988216730494,0.014551175592331034,1.0,False,1.5117421350563465
TARDBP,1.6079646047161327,0.11480018196057698,1.0,False,1.1510550418171064
MASP2,4.316449460679893,9.522413396933681e-05,0.05170808436212819,False,1.7502003743975032
SRM,1.3336681018234875,0.19017339936521438,1.0,False,1.1446406125410986
EXOSC10,1.7192446666876546,0.092868098712292,1.0,False,1.1160837354759172
MTOR,0.41725353683960564,0.6785274159833248,1.0,False,1.0272682236362745
ANGPTL7,0.6720935020734085,0.5054445590397679,1.0,False,1.2718121452625732
UBIAD1,-1.440380073172118,0.15653213958999335,1.0,False,1.102442588152509
PTCHD2,-0.9800769618381651,0.3343642499373636,1.0,False,1.203312507972812
FBXO2,3.003977423546901,0.004303691476949396,0.5380458502449256,False,1.4686874816952231
FBXO44,1.4539241033986186,0.15348717727065975,1.0,False,1.1290696219553225
FBXO6,-4.103119485356781,0.00020833457416857408,0.08018907295290881,False,1.4299328458490312
MAD2L2,-1.0007929591271731,0.32241575698376534,1.0,False,1.0615424363594193
AGTRAP,0.2502145955464087,0.8035756089293403,1.0,False,1.0167027197081824
MTHFR,0.25803059407591755,0.7976717152767918,1.0,False,1.0138053211087599
CLCN6,-0.24565457237777027,0.8071531079425708,1.0,False,1.0156809635115576
NPPA,-0.3109806546349419,0.757275449039564,1.0,False,1.0382657053389799
KIAA2013,-2.243030856707024,0.02994490468691273,1.0,False,1.1386634091459007
PLOD1,-0.9514502836549823,0.34636539977719716,1.0,False,1.0581576984147967
MFN2,0.7639082458609556,0.4488306295481225,1.0,False,1.0406501210140895
MIIP,-0.5026273634969393,0.6176295175245954,1.0,False,1.0260328474871645
TNFRSF8,1.1293814104146596,0.26460152454253444,1.0,False,1.1121912906125184
TNFRSF1B,-2.762031740787858,0.008659051183242282,0.8165550243276215,False,1.2552411393317866
VPS13D,1.644246350366339,0.10763596644658215,1.0,False,1.0987517041411357
DHRS3,1.0760518120032336,0.28808525744997265,1.0,False,1.1148446071342621
LRRC38,4.161322119077002,0.000247030244284663,0.08861305590558925,False,2.6537630788954303
PDPN,-0.5649826809642993,0.5753838476736555,1.0,False,1.050842239013685
PRDM2,-0.8298513796678504,0.4109318397405941,1.0,False,1.0321173025875212
KAZN,2.2651462984822777,0.028793092046989276,1.0,False,1.1603073126114525
C1orf126,0.9728663834486236,0.33584201253040624,1.0,False,1.17120943890419
TMEM51,-1.383967263916909,0.1734921931512831,1.0,False,1.1559354134604858
FHAD1,0.8270252102924024,0.41268559462248977,1.0,False,1.1144558680137087
EFHD2,-3.838169441824261,0.00038348399253155765,0.11647174590965481,False,1.1971315081971319
CTRC,1.1839482624066677,0.24281640967502333,1.0,False,1.1387037769902522
CASP9,3.3481867817471693,0.0016375833719502319,0.2905409839855679,False,1.3308474325247373
DNAJC16,0.26727850071180903,0.7904497432744909,1.0,False,1.02235772470361
AGMAT,-2.543225443680018,0.014846627996510974,1.0,False,1.281561548034812
PLEKHM2,-0.5618577308439723,0.577108737825521,1.0,False,1.0287484435583318
SLC25A34,1.8786268479570913,0.06664553543213186,1.0,False,1.156634834083684
FBLIM1,-0.6936855120257289,0.49305905163116603,1.0,False,1.046418138987939
UQCRHL,-0.15456528893703167,0.8779868342262587,1.0,False,1.0157270911956828
FLJ37453,0.641402499478289,0.524612435867954,1.0,False,1.049409886153123
SPEN,-0.37618687514973465,0.708622170751666,1.0,False,1.025348849518015
ZBTB17,0.11410406205466511,0.9097323191934278,1.0,False,1.0066342061415747
C1orf64,-1.1105787200401016,0.2747491844597136,1.0,False,1.224989353400442
HSPB7,1.397464260544941,0.1692044138865392,1.0,False,1.2501661357372826
CLCNKA,1.1788129919144403,0.24460646570358321,1.0,False,1.1981893169233735
EPHA2,2.016938031287725,0.04956483667019674,1.0,False,1.176293697449012
ARHGEF19,-1.9119482357811148,0.06216779448446236,1.0,False,1.1684034367528928
RSG1,-1.2886033597920457,0.20399481903132005,1.0,False,1.1149907632923561
FBXO42,-1.4496934556249086,0.1566703554128486,1.0,False,1.0993933498332265
C1orf144,0.03200120213919053,0.9746263680735211,1.0,False,1.0018713415030083
NECAP2,-1.3172598711745425,0.19440747321270396,1.0,False,1.101618642254992
CROCCP3,2.0571572642680347,0.0453827179733845,1.0,False,1.2833118231904845
CROCCP2,1.2487653304955828,0.2180702760765189,1.0,False,1.1878640895927672
MST1P2,2.3832459801499817,0.021459048009950722,1.0,False,1.3509961940183635
CROCC,-0.40900050684198413,0.6844374415716922,1.0,False,1.0334506217504889
MFAP2,-3.7121609215761513,0.0008885471698599655,0.1995831671566704,False,1.903689816411747
ATP13A2,-1.48300936760497,0.14523534918353093,1.0,False,1.0995753915112914
SDHB,-0.2765859957441589,0.7833929156965723,1.0,False,1.019626559611817
PADI2,1.2719059551582794,0.21158090196611942,1.0,False,1.1950083882306264
PADI3,-0.9617586185846672,0.3444645502268445,1.0,False,1.5033225129628291
PADI4,-0.5662630871299728,0.5739795382379673,1.0,False,1.0852324086765193
RCC2,-1.7891688183872463,0.08121711176130267,1.0,False,1.110215171228162
ARHGEF10L,-0.2179150743876489,0.8284652930144989,1.0,False,1.0157467572475194
ACTL8,-1.6880926393939317,0.10232436805195373,1.0,False,1.5606895444879156
IGSF21,-0.1201426579285815,0.9049699394956022,1.0,False,1.0203931100035653
KLHDC7A,0.8903052560375815,0.37872585056419694,1.0,False,1.1459558876172458
PAX7,-2.1458114911538106,0.04137971907073115,1.0,False,2.146680745618487
ALDH4A1,2.3991055548766145,0.02055312913393124,1.0,False,1.2091827237340713
IFFO2,2.8099312487686734,0.007660886658911365,0.7538205106173824,False,1.301666174206273
UBR4,0.10523839581148944,0.9167100676147042,1.0,False,1.006969551500929
KIAA0090,0.9656175693247889,0.3397020801417756,1.0,False,1.078462287527579
MRTO4,-0.36435693498071275,0.7173019831589056,1.0,False,1.0252344253283106
AKR7L,0.22332473418873877,0.8243904574147657,1.0,False,1.0340985325493401
AKR7A3,-0.1039789270230232,0.9177974144091299,1.0,False,1.0186020340718362
LOC100506730,1.347827552677264,0.18444418999167386,1.0,False,1.1787487050069854
AKR7A2,0.199509053415536,0.8427845183356371,1.0,False,1.0281997648422165
PQLC2,-0.641583093556793,0.5243399020450767,1.0,False,1.0396159014407864
CAPZB,-3.0030041802002785,0.0043376819807314825,0.5414558634762904,False,1.2312202992314691
C1orf151,-0.658878263517001,0.5136826240501564,1.0,False,1.0575945031229528
NBL1,-1.8719574741542178,0.06883892404362414,1.0,False,1.232654208628441
TMCO4,0.9789277522793599,0.3333719633107538,1.0,False,1.0577741665509635
RNF186,3.3187766428240546,0.002424359187258989,0.3760397691210856,False,1.8086280347332626
OTUD3,2.08244393394818,0.04299677430811332,1.0,False,1.1827766408060771
PLA2G2A,-1.2781154317165742,0.20948679592310637,1.0,False,1.3273730788079854
PLA2G5,-0.5685041717839128,0.5729030936090689,1.0,False,1.0734892222536612
PLA2G2D,-2.0140199654194677,0.05076045874298478,1.0,False,1.5278023817905382
UBXN10,-1.1652527616729083,0.25068584783750175,1.0,False,1.1833449631333663
CAMK2N1,-0.28086560721789855,0.7800734303032213,1.0,False,1.0315435260271006
MUL1,-0.9729211805483402,0.33689272698994643,1.0,False,1.0534597159239998
FAM43B,1.6378650094158314,0.10838347793446827,1.0,False,1.2655328052785109
CDA,-1.9683672798843663,0.05620143085212366,1.0,False,1.310815532528539
PINK1,-0.13324810325320863,0.8945786655480018,1.0,False,1.006154236791036
DDOST,-2.174856491235513,0.03482124580763483,1.0,False,1.1497531311997773
KIF17,0.3644801892907553,0.7171776718438853,1.0,False,1.0239459302679366
HP1BP3,0.6599303190184949,0.5127096169962367,1.0,False,1.0631744243899406
EIF4G3,-1.7070297675514599,0.09496033551859706,1.0,False,1.0971309676950811
ECE1,1.341380596710145,0.1864110530525458,1.0,False,1.1231852409623568
LOC100506801,2.16466937356789,0.03617172400948276,1.0,False,1.317744511107809
ALPL,4.0871667848949995,0.00017369913338935927,0.07290072490447219,False,1.4678312412145005
RAP1GAP,0.6000539872778684,0.5514994524843853,1.0,False,1.0475500902962733
USP48,0.9050334634281066,0.370264426379872,1.0,False,1.0632795161232453
LDLRAD2,-2.1881607448845157,0.03642374622121794,1.0,False,1.3437528991483378
HSPG2,-1.4882657178889727,0.14414388710022238,1.0,False,1.1233929129731037
NCRNA00339,0.8591848596104715,0.3952113641874403,1.0,False,1.0943367462447884
CDC42,-0.17846506317859775,0.8591659075984949,1.0,False,1.0186674583531405
WNT4,4.090727041660911,0.0002886764744301158,0.09579503266006115,False,2.1863601761556732
ZBTB40,-0.45784195262057514,0.6495176841066099,1.0,False,1.0205994619673013
EPHA8,-1.3131900520799982,0.20101898229440815,1.0,False,1.7661754384151742
C1QA,-3.035340312571514,0.004268518088463689,0.5353083576450942,False,1.2953603980270934
C1QC,-2.9219483557840777,0.006261047368622138,0.6718221156821788,False,1.5233065327944304
C1QB,-3.4403751173854022,0.0014842044410136052,0.2741873091495077,False,1.4995897480945874
EPHB2,-3.4306813274549244,0.0013726952896521208,0.26292381082927274,False,1.46900032411386
LOC729059,-1.5147255060689249,0.13773612634860435,1.0,False,1.2344830641318278
KDM1A,-1.4313007151041197,0.15919687783487857,1.0,False,1.1035364952097464
LUZP1,-0.03113647239569131,0.9752958395829255,1.0,False,1.0023712879200986
HNRNPR,0.6230287635184899,0.5363482911155453,1.0,False,1.052730892104607
ZNF436,1.7128403716685705,0.09348782788965064,1.0,False,1.201429676887139
